instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
r105,QLEARNING,10,10,14,1377.63,9.23438,1
r106,CLASSIC,1,1,12,1263.61,11.25,1
r106,CLASSIC,3,3,12,1263.21,10.7344,1
r106,CLASSIC,2,2,12,1254.07,12.7656,1
r106,CLASSIC,5,5,12,1261.63,10.7812,1
r106,CLASSIC,4,4,12,1261.94,11.7656,1
r106,CLASSIC,6,6,12,1262.86,12.7188,1
r106,CLASSIC,7,7,12,1267.98,13.4375,1
r106,CLASSIC,8,8,12,1262.86,12.625,1
r106,CLASSIC,9,9,12,1261.86,11.2812,1
r106,QLEARNING,1,1,12,1263.79,11.6406,1
r106,CLASSIC,10,10,12,1261.67,13.6719,1
r106,QLEARNING,2,2,12,1262.19,12.6406,1
r106,QLEARNING,3,3,12,1262.86,12.6094,1
r106,QLEARNING,4,4,12,1262.86,11.5938,1
r106,QLEARNING,5,5,12,1262.86,12.5938,1
r106,QLEARNING,6,6,12,1265.21,12.5156,1
r106,QLEARNING,7,7,12,1252.03,12.8125,1
r106,QLEARNING,8,8,12,1262.72,13.9844,1
r107,CLASSIC,1,1,11,1076.12,12.3594,1
r106,QLEARNING,9,9,12,1258.48,13.75,1
r106,QLEARNING,10,10,12,1257.96,14.0938,1
r107,CLASSIC,2,2,11,1073.34,12.3125,1
r107,CLASSIC,3,3,10,1113.58,11.7344,1
r107,CLASSIC,4,4,11,1075.47,12.8906,1
r107,CLASSIC,5,5,11,1073.91,12.6406,1
r107,CLASSIC,6,6,11,1074.5,12.6562,1
r107,CLASSIC,8,8,11,1078.01,11.3281,1
r107,CLASSIC,9,9,11,1075.47,11.3594,1
r107,CLASSIC,7,7,11,1074.31,12.9375,1
r107,CLASSIC,10,10,11,1079.76,12.1094,1
r107,QLEARNING,1,1,11,1073.91,11.2031,1
r107,QLEARNING,2,2,11,1079.56,12.9531,1
r107,QLEARNING,3,3,11,1074.31,13,1
r107,QLEARNING,4,4,11,1073.34,11.6406,1
r107,QLEARNING,5,5,11,1072.12,11.2656,1
r107,QLEARNING,6,6,11,1075.21,12.3594,1
r107,QLEARNING,7,7,11,1075.11,13.2031,1
r107,QLEARNING,8,8,11,1075.14,12.4688,1
r107,QLEARNING,9,9,11,1079.36,12.2656,1
r107,QLEARNING,10,10,11,1075.47,10.9375,1
r108,CLASSIC,1,1,10,944.441,9.73438,1
r108,CLASSIC,2,2,10,949.904,9.75,1
r108,CLASSIC,4,4,10,948.468,11.4062,1
r108,CLASSIC,6,6,10,950.579,10.6562,1
r108,CLASSIC,3,3,10,955.799,14.7344,1
r108,CLASSIC,5,5,10,951.297,12.1406,1
r108,CLASSIC,8,8,10,946.758,9.8125,1
r108,CLASSIC,7,7,10,949.029,11.7812,1
r108,CLASSIC,9,9,10,955.982,12.2656,1
r108,CLASSIC,10,10,10,944.498,13.1406,1
r108,QLEARNING,1,1,10,952.936,11.8906,1
r108,QLEARNING,4,4,10,944.441,10.7812,1
r108,QLEARNING,2,2,10,948.465,11.7812,1
r108,QLEARNING,3,3,10,953.433,11.9375,1
r108,QLEARNING,5,5,10,952.822,11.3594,1
r108,QLEARNING,6,6,10,951.14,10.9688,1
r108,QLEARNING,7,7,10,961.729,11.7969,1
r108,QLEARNING,8,8,9,986.34,10.7344,1
r109,CLASSIC,1,1,12,1153.02,8.8125,1
r109,CLASSIC,2,2,12,1153.52,8.54688,1
r108,QLEARNING,9,9,10,941.939,11.8906,1
r108,QLEARNING,10,10,10,946.739,11.1875,1
r109,CLASSIC,4,4,12,1153.52,9.21875,1
r109,CLASSIC,3,3,12,1153.52,9.60938,1
r109,CLASSIC,5,5,12,1155.69,9.34375,1
r109,CLASSIC,6,6,12,1154.13,9.78125,1
r109,CLASSIC,7,7,12,1154.31,8.51562,1
r109,CLASSIC,8,8,12,1153.89,9.375,1
r109,CLASSIC,9,9,12,1154.73,9.09375,1
r109,CLASSIC,10,10,12,1157.01,9.71875,1
